author,Start,End,Price,lower bound,upper bound,route,Currency,Price EUR 2014,Service,Year,Source,Comment
Red Cross,GUINEA-CONAKRI,Spain,200000,,,West African,MRO,646,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,GUINEA-CONAKRI,Spain,200000,,,West African,MRO,646,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,GUINEA-CONAKRI,Spain,200000,,,West African,MRO,646,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,GUINEA-CONAKRI,Spain,200000,,,West African,MRO,646,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,GUINEA-CONAKRI,Spain,200000,,,West African,MRO,646,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,GUINEA-CONAKRI,Spain,200000,,,West African,MRO,646,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,GUINEA-CONAKRI,Spain,180000,,,West African,MRO,582,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,GUINEA-CONAKRI,Spain,180000,,,West African,MRO,582,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,GUINEA-CONAKRI,Spain,300000,,,West African,XAF,519,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,GUINEA-CONAKRI,Spain,150000,,,West African,MRO,485,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,GUINEA-CONAKRI,Spain,150000,,,West African,MRO,485,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,GUINEA-CONAKRI,Spain,400,,,West African,EUR,462,Seat on a boat from Mauritania,2007,Red Cross,Year is range 2006-2026
Red Cross,GUINEA-CONAKRI,Spain,200000,,,West African,XAF,346,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,GUINEA-CONAKRI,Spain,100000,,,West African,MRO,323,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,GUINEA-CONAKRI,Spain,100000,,,West African,MRO,323,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,GUINEA-CONAKRI,Spain,250,,,West African,MRO,1,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,GUINEA-CONAKRI,Spain,Payé par frére,,,West African,nd,,Seat on a boat from Mauritania,2007,Red Cross,
Adam (GITOC),Hargeisa,Addis Ababa,375,250,500,,USD,283,Foot and car,2013,"Altai Consulting, November 2013, http://www.refworld.org/pdfid/52b43f594.pdf","Hargeisa to Wachalah (Somaliland) by car, then across to Jijiga (Eth) by foot or car, then to Addis by car."
nkb,"Homs, Syria",Denmark,"10,000",,,,USD,7541,"Car, Plane",2013,Paid 10k for a swedish passport and plane ticket - had to return swedish pass when arriving to Denmark.,
alice,Hungary,Czech Republic,900,800,"1,000",,USD,996,diverse,2003,"Spiegel, April 30th 2003",on a price list of a trafficking organisation
alb,Iran,Greece,"2,500",,,,EUR,2500,,2014,http://observers.france24.com/fr/content/20141120-est-jamais-perdants-passeur-devoile-trafic-migrants-syrie-l%E2%80%99europe,Prices posted on Facebook by a smuggler
sgr,Iran,Turkey,"1,300",,,,USD,981,Car,2011,"Profil, December 12th 2011",Costs per person
Adam (GITOC),Iran,Greece,,"4,500","5,500",East Med Sea+,EUR,,"Overland, sometimes followed by boat",2010,"Anna Triandafyllidou and Thanos Maroukis, 2013, Migrant Smuggling: Irregular Migration from Asia and Africa to Europe","Price for Afghans. Overland (foot or car/van) to Gauchar, then bus to Istanbul, then either overland across the Evros or overland to Izmir and boat to Greek islands"
nkb,Iraq,Germany,"6,500","4,000","9,000",,EUR,8017,,2004,https://www.bfm.admin.ch/dam/data/bfm/publiservice/service/forschung/illegale_migrationpublic.pdf,p. 6
nkb,Iraq,Turkey,"1,400",,,,EUR,1727,,2004,https://www.bfm.admin.ch/dam/data/bfm/publiservice/service/forschung/illegale_migrationpublic.pdf,p. 6
petros,Iraq,Greece,"1,750","1,500","2,000",East Med Sea+,EUR,2245,Boat,2002,http://www.kathimerini.gr/138395/article/epikairothta/ellada/oi-karavies-twn-apelpismenwn,
petros,Iraq,Greece,"7,250","5,500","9,000",,EUR,7994,Vehicles,2009,http://www.enet.gr/?i=news.el.article&id=70342,
petros,Iraq,Europe,"4,000",,,EML + EMS,EUR,4410,,2009,http://www.naftemporiki.gr/story/232547/eksarthrothike-speira-diakinisis-lathrometanaston,
alice,"Iraq, Syria",Germany,"8,000",,,,EUR,8000,"van, bus",2015,"http://prawo.money.pl/aktualnosci/wiadomosci/artykul/bulgaria-akcja-przeciwko-przemytnikom,158,0,1702302.html",
Lise,Istanbul, ,"15,000",,,,EUR,15000,Trip by plane,2015,https://www.facebook.com/europe.travel.from.turkey/timeline,Human smugglers ad on facebook 01/19/15
Lise,Istanbul,Canada,"18,000",,,,EUR,18000,Trip by plane,2015,https://www.facebook.com/europe.travel.from.turkey/timeline,Human smugglers ad on facebook 01/19/15
Adam (GITOC),Istanbul,Canada,"15,000",,,,CAD,15000,Flight tickets and other necessary docs,2015,"CBC, 11 May 2015, http://www.cbc.ca/news/world/inside-aksaray-istanbul-s-human-smuggling-hub-1.3066443","""All-inclusive package"""
nkb,Istanbul,Greece,350,,,East Med Land,EUR,367,"no details as to how the river is crossed, minibus otherwise",2011,http://utsam.org/images/upload/attachment/UTSAM-%20Illegal%20Migrants%20and%20Smuggling.pdf,"p. 35, at a discout"
Adam (GITOC),Istanbul,Greece,"3,500",,,,USD,3572,Rubber boat,2012,"Der Spiegel, 24 May 2012, http://www.spiegel.de/international/europe/thousands-of-illegal-immigrants-enter-europe-through-greece-a-834415.html",Price for Istanbul-to-Greece river crossing
Lise,Istanbul,Italy,"6,500",,,Central Med,EUR,6500,Trip by yacht,2014,https://www.facebook.com/europe.travel.from.turkey/timeline,Human smugglers ad on facebook 11/27/15
Adam (GITOC),Istanbul,Greece,"1,500",,,East Med Sea+,USD,1191,"Overland, then boat",2009,"Anna Triandafyllidou and Thanos Maroukis, 2013, Migrant Smuggling: Irregular Migration from Asia and Africa to Europe","Overland transportation from Istanbul to Turkish Aegean coast, then speedboat to Greece"
Adam (GITOC),Istanbul,Greece,"2,000",,,East Med Sea+,USD,1588,"Overland, then boat",2009,"Anna Triandafyllidou and Thanos Maroukis, 2013, Migrant Smuggling: Irregular Migration from Asia and Africa to Europe","Overland transportation from Istanbul to Turkish Aegean coast, then motor yacht to Greece"
Adam (GITOC),Istanbul,Greece,,400,500,East Med Sea,USD,,"Overland, then boat",2009,"Anna Triandafyllidou and Thanos Maroukis, 2013, Migrant Smuggling: Irregular Migration from Asia and Africa to Europe","Overland transportation from Istanbul to Turkish Aegean coast, then inflatable boat to Greece"
Adam (GITOC),Istanbul,Greece,"1,200",,,East Med Sea+,USD,909,"Overland, then boat",2008,"Alessandro Triulzi and Robert Lawrence McKenzie, 2013, Long Journeys: African Migrants on the Road","Overland to Izmir, boat to Greek islands"
Adam (GITOC),Istanbul,Central Europe,"5,000",,,,EUR,5000,Various forms of transportation,2014,"Swiss government, 2014, http://www.ksmm.admin.ch/dam/data/ksmm/dokumentation/berichte/ber-ksmm-2014-f.pdf",
Lise,Istanbul ,Great Britain,"15,000",,,,EUR,15000,Trip by plane,2015,https://www.facebook.com/europe.travel.from.turkey/timeline,Human smugglers ad on facebook 01/19/15
sgr,Italy,Germany,"4,000",,,,EUR,4000,Small transporter,2014,Spiegel 48 / 2014,Costs of the transport of eight persons in mini transporter
nelsonmau,Italy,Germany,700,,,,EUR,700,,2015,Glauco's Investigation https://goo.gl/8dem2b,
nelsonmau,Italy,Germany,75,,,,EUR,75,Train,2015,Glauco's Investigation https://goo.gl/8dem2b,
nelsonmau,Italy,Germany,,500,"1,000",,EUR,,,2015,Glauco's Investigation https://goo.gl/8dem2b,
nelsonmau,Italy,North EU,,250,"1,000",,EUR,,,2015,Glauco's Investigation https://goo.gl/8dem2b,
nelsonmau,Italy,North EU,,"1,000","2,000",,EUR,,,2015,Glauco's Investigation https://goo.gl/8dem2b,
nelsonmau,Italy,North Europe,"1,000",,,,USD,880,Bus and railways,2015,l'Espresso http://espresso.repubblica.it/attualita/2015/04/20/news/stragi-del-mediterraneo-cosi-gli-schiavisti-comprano-e-vendono-gruppi-di-migranti-da-inviare-verso-le-coste-libiche-con-destinazione-italia-1.208984,
nelsonmau,Italy,Sweden,,"1,000","1,500",,EUR,,,2015,Glauco's Investigation https://goo.gl/8dem2b,
nelsonmau,Italy,Swiss,400,,,,EUR,400,,2015,Glauco's Investigation https://goo.gl/8dem2b,
nelsonmau,Italy,Swiss,150,,,,EUR,150,,2015,Glauco's Investigation https://goo.gl/8dem2b,
Adam (GITOC),Italy,Switzerland,200,,,,EUR,210,Overland,2011,"Swiss government, 2014, http://www.ksmm.admin.ch/dam/data/ksmm/dokumentation/berichte/ber-ksmm-2014-f.pdf",Smugglers help them across the border either on foot or through holes in border fences (?)
Adam (GITOC),Ivory Coast,Greece,,"2,000","2,500",East Med Sea+,EUR,,"Plane/overland, then plane, then boat",2010,"Anna Triandafyllidou and Thanos Maroukis, 2013, Migrant Smuggling: Irregular Migration from Asia and Africa to Europe","Plane to Algeria (or by truck/foot), then plane to Izmir, then boat to Greek islands. Note, though, that as of June 2015, there are no scheduled direct Algiers-Izmir flights."
Adam (GITOC),"Izmir, Turkey",Greece,"1,720",,,East Med Sea,GBP,2322,Boat,2015,"International Business Times, 24 April 2015, http://www.ibtimes.co.uk/mediterranean-migrants-facebook-smugglers-offer-under-3s-go-free-tripadvisor-style-feedback-1498232",Smuggler was also offering onward flight to UK
Adam (GITOC),"Izmir, Turkey",Greece,"1,200",,,East Med Sea,USD,1200,Boat,2015,"France24, 1 May 2015, http://observers.france24.com/content/20150501-what-smugglers-tell-migrants-europe-libya-turkey",
Adam (GITOC),"Izmir, Turkey","Samos Island, Greece","1,500",,,East Med Sea,EUR,1500,Rubber dinghy,2014,"Toronto Star, 7 November 2014, http://www.thestar.com/news/world/2014/11/07/an_afghan_boys_lonely_trek_to_freedom.html",Price for an Afghan boy
Adam (GITOC),"Izmir, Turkey","Samos Island, Greece",800,,,East Med Sea,EUR,891,Boat,2008,"East Online, http://www.eastonline.eu/attachments/article/878/east22_Samo,_l%E2%80%99Europa_cos%C3%AC_vicina_e_cos%C3%AC_lontana.pdf",Voyage arranged by a Moroccan for a Moroccan migrant
nkb,"Izmir, Turkey",Greece,"1,075",950,"1,200",East Med Sea,EUR,1075,Boat,2015,https://twitter.com/MSF_Sea/status/654250382336507905,
nkb,"Kafr El-Sheikh, Egypt",Italy,"2,500",,,Central Med,USD,2200,boat,2015,http://www.elwatannews.com/news/details/702748,Not carried out - arrested before getting on board
alice,Kenya,Netherlands,"3,000",,,,USD,2897,Flight,2005,"Beobachter, December 23rd 2005",
Adam (GITOC),Khartoum,Kufrah,"1,100",600,"1,600",,USD,830,"Pickup trucks, cars",2013,"Altai Consulting, November 2013, http://www.refworld.org/pdfid/52b43f594.pdf",Price varies based on time of year and security situation. Most common route goes via Dongola (Sudan) and Uweynat (Libya)
alb,Khartoum,Kufrah,750,700,800,,USD,595,4WD,2009,http://www.invisible-dog.com/odissea_clandestino_eng.html,
nkb,Khartoum,Kufrah,550,,,,USD,520,,2006,http://www.hrw.org/sites/default/files/reports/italy0909web_0.pdf,p. 64
Adam (GITOC),Khartoum,Libya,"2,288","2,175","2,400",,USD,2288,Overland travel,2015,"AllAfrica.com, 29 April 2015, http://allafrica.com/stories/201504301057.html",Price per person for Ethiopian adults
nkb,Khartoum,Misrata,"1,600",,,,USD,1200,,2014,http://www.bbc.com/news/world-africa-27639738,
alb,Khartoum,Tripoli,"1,500","1,400","1,600",,USD,1131,lower bound,2013,http://www.laphamsquarterly.org/foreigners/refugees,Add a 3300 USD ransom in Sabah
nkb,Khartoum,Tripoli,"1,600",,,,USD,1200,,2014,http://www.youtube.com/watch?v=j0clSt6MvZM&list=TLCNmsq21rI9KBd0gUs8QHAo6Psfqj130X,
nkb,Khartoum,Tripoli,"1,000",,,,SDG,167,Car,2013,Interview by researcher Joni Blankenagel,
Adam (GITOC),Khartoum,Sabha,"1,800",,,,USD,1584,Pickup truck,2015,"McClatchy, 1 June 2015, http://www.mcclatchydc.com/2015/06/01/268425/migrants-bound-for-europe-create.html",Price for an Eritrean woman
Adam (GITOC),"Kilis, Turkey",Other Turkish towns,,20,,,TRY,,Minibus or taxi,2015,"CBC, 2 April 2015, http://www.cbc.ca/news/world/turkey-tightens-security-at-syria-border-but-still-many-weak-points-1.3018299",Starting point for minibus or taxi rides between Turkish border town and other regional destinations
alice,Kosovo,England,"2,500",,,,EUR,3207,diverse,2002,"Basler Zeitung, September 28, 2002",
sgr,Kosovo,England,"2,400",,,West Balkans,CHF,2055,diverse,2000,"Der Bund, June 20th 2000",Costs per person
alice,Kosovo,Germany,"2,200",400,"4,000",,EUR,2200,"by foot, bus",2015,http://www.dw.de/kosovo-fl%C3%BCchtlinge-belogen-und-misshandelt/a-18292284,
Adam (GITOC),Kufrah,Benghazi,150,,,,USD,113,Pickup and bus,2013,"Altai Consulting, November 2013, http://www.refworld.org/pdfid/52b43f594.pdf","Kufra to Rebiana or Tazerbo, then to Ajdabiya, then bus to Benghazi"
nkb,Kufrah,Benghazi,300,,,,USD,283,,2006,http://www.hrw.org/sites/default/files/reports/italy0909web_0.pdf,p. 64
Adam (GITOC),Kufrah,Tripoli,150,,,,USD,113,Pickup and bus,2013,"Altai Consulting, November 2013, http://www.refworld.org/pdfid/52b43f594.pdf","Kufra to Rebiana or Tazerbo, then to Ajdabiya, then bus to Tripoli"
alb,Kufrah,Tripoli,350,300,400,,USD,278,,2009,http://www.invisible-dog.com/odissea_clandestino_eng.html,200/250 USD for 15-day hiding
Adam (GITOC),Kufrah,Ajdabiya,700,,,,LYD,415,Overland,2013,"USIP, 2014, http://www.usip.org/sites/default/files/PW96-Illicit-Trafficking-and-Libyas-Transition.pdf",Price for a Sudanese man
sgr,Kurdistan,England,"6,000",,,,CHF,5139,diverse,2000,"Der Bund, June 20th 2000",Costs per person
alb,Laayoune,Canary Islands,"2,000",,,West African,EUR,2308, Cheap boats carrying some 25-30 migrants,2007,http://www.unodc.org/documents/data-and-analysis/tocta/TOCTA_Report_2010_low_res.pdf,
Red Cross,LIBERIA,Spain,600,,,West African,EUR,693,Seat on a boat from Mauritania,2007,Red Cross,Year is range 2006-2046
Adam (GITOC),Libya,Europe,"1,700","1,600","1,800",,USD,1496,Fishing boat,2015,"New York Times, 5 May 2015, http://www.nytimes.com/2015/05/06/world/africa/migrants-libya.html?smid=tw-share&_r=0",Second part of two-part journey (first leg Sudan-Libya)
Adam (GITOC),Libya,Europe,450,400,500,Central Med,EUR,450,Boat,2015,"La Liberté, 24 April 2015, http://www.laliberte.ch/news/histoire-vivante/la-libye-plaque-tournante-de-la-migration-282117#.VWhidkZG5JI",Price for a sub-Saharan African migrant
Adam (GITOC),Libya,Europe,"1,750","1,500","2,000",Central Med,EUR,1750,Boat,2015,"La Liberté, 24 April 2015, http://www.laliberte.ch/news/histoire-vivante/la-libye-plaque-tournante-de-la-migration-282117#.VWhidkZG5JI",Price for a Syrian
Adam (GITOC),Libya,France,"5,000",,,,USD,3750,Zodiac,2014,"The Guardian, 20 October 2014, http://www.theguardian.com/world/2014/oct/20/-sp-migrants-tales-asylum-sea-mediterranean",Mostly Syrians who take this option. No naval patrols on this route as of publication of article (October 2014). NKB comment: Impossible to travel that far by zodiac. Guardian journalist refused to comment or give details on her source.
Adam (GITOC),Libya,Gambia,"1,500",,,,USD,1125,,2014,"Amnesty International, 2014, http://www.amnesty.ch/de/themen/asyl-migration/europa/dok/2014/verantwortung-fuer-fluechtlinge-in-seenot/bericht-lives-adrift-refugees-and-migrants-in-peril-in-the-central-mediterranean-.-september-2014.-88-seiten",Price per person for two Gambians to return to Gambia from Libya after having been smuggled there
Adam (GITOC),Libya,Italy,"1,000",,,Central Med,USD,880,,2015,"BBC News, 21 April 2015, http://www.bbc.com/news/world-africa-32392788","Prices reported in Zintan, Libya (100km from ocean)"
Adam (GITOC),Libya,Italy,"1,000",,,Central Med,USD,750,Fishing boat,2014,"The Guardian, 20 October 2014, http://www.theguardian.com/world/2014/oct/20/-sp-migrants-tales-asylum-sea-mediterranean",Standard rate for crossing
Adam (GITOC),Libya,Italy,728,,,Central Med,USD,641,Fishing boat,2015,"BBC News, 23 April 2015, http://www.bbc.com/news/world-europe-32381101",Price paid by a Gambian
Adam (GITOC),Libya,Italy,740,,,Central Med,USD,555,Boat,2014,"Amnesty International, 2014, http://www.amnesty.ch/de/themen/asyl-migration/europa/dok/2014/verantwortung-fuer-fluechtlinge-in-seenot/bericht-lives-adrift-refugees-and-migrants-in-peril-in-the-central-mediterranean-.-september-2014.-88-seiten",Price per person for two Gambians. Final stage of journey: Gambia-->Senegal-->Bamako-->Burkina-->Niger-->Libya-->Italy
alb,Libya,Italy,"5,000",,,Central Med,USD,3750,April,2014,http://www.borderline-europe.de/sites/default/files/readingtips/2014_08_b-e_Dossier%20Mare%20Nostrum_wei%C3%9F.pdf,
alb,Libya,Italy,"3,000",,,Central Med,EUR,3340,,2008,http://www.unodc.org/documents/human-trafficking/Migrant_smuggling_in_North_Africa_June_2010_ebook_E_09-87293.pdf,"Full-package solutions, including at times assistance in Italy on departure from the detention centres for irregular migrants (Coluccello and Massey, 2007; Monzini, 2008). Payment:  €1,500 to the Libyan organizers at the moment of departure, with the remaining €1,500 paid by relatives in Italy once it has been determined that the trip was successful. "
alb,Libya,Italy,"3,400",,,Central Med,USD,2550,"Boat, no pilot",2014,http://www.borderline-europe.de/sites/default/files/readingtips/2014_08_b-e_Dossier%20Mare%20Nostrum_wei%C3%9F.pdf,
alb,Libya,Italy,"1,200",,,Central Med,EUR,1417,,2006,http://www.unodc.org/documents/human-trafficking/Migrant_smuggling_in_North_Africa_June_2010_ebook_E_09-87293.pdf,
alb,Libya,Italy,800,,,Central Med,EUR,987,,2004,http://www.unodc.org/documents/human-trafficking/Migrant_smuggling_in_North_Africa_June_2010_ebook_E_09-87293.pdf,
alb,Libya,Italy,700,,,Central Med,USD,528,"rubber boat, 75 pax",2011,http://www.borderline-europe.de/sites/default/files/readingtips/2014_08_b-e_Dossier%20Mare%20Nostrum_wei%C3%9F.pdf,
alb,Libya,Italy,850,700,"1,000",,USD,638,"Eritrean pilot, no experience, 70 pax on boat",2014,http://www.borderline-europe.de/sites/default/files/readingtips/2014_08_b-e_Dossier%20Mare%20Nostrum_wei%C3%9F.pdf,
alice,Libya,Italy,"2,000",,,Central Med,USD,1760,"truck, boat",2015,"Süddeutsche Zeitung, April 25th 2015",Costs for two people
alice,Libya,Italy,"1,500",,,Central Med,USD,1131,ferry,2013,"Süddeutsche Zeitung, April 25th 2015",Costs per person
alice,Libya,Italy,"1,500",,,Central Med,USD,1125,rubber boat,2014,"Süddeutsche Zeitung, April 25th 2015",Costs per person
alice,Libya,Italy,650,,,Central Med,EUR,650,rubber boat,2015,"Süddeutsche Zeitung, April 25th 2015",Costs per person
alice,Libya,Italy,583,,,Central Med,EUR,583,rent,2014,"Weltwoche, May 22nd 2014",monthly rent while waiting for transfer (ca 700 CHF)
alice,Libya,Italy,"41,666",,,,EUR,41666,Boat,2014,"Weltwoche, May 22nd 2014",Price of a boat
alice,Libya,Italy,"5,833",,,,EUR,5833,remuneration for captain,2014,"Weltwoche, May 22nd 2014",
nelsonmau,Libya,Italy,"2,300",,,Central Med,USD,2024,Boat,2015,The Guardian http://www.theguardian.com/world/2015/apr/24/libyas-people-smugglers-how-will-they-catch-us-theyll-soon-move-on?CMP=share_btn_tw,Syrian migrants
nelsonmau,Libya,Italy,"1,500",,,Central Med,USD,1320,Boat,2015,TgCom Videonews http://notizie.virgilio.it/videonews/dove-vanno-i-migranti-che-arrivano-in-italia-quanto-pagano.html,
nelsonmau,Libya,Italy,"1,500",,,Central Med,USD,1320,Boat,2015,The Guardian http://www.theguardian.com/world/2015/apr/24/libyas-people-smugglers-how-will-they-catch-us-theyll-soon-move-on?CMP=share_btn_tw,Moroccan migrants
nelsonmau,Libya,Italy,800,,,Central Med,USD,704,Boat,2015,The Guardian http://www.theguardian.com/world/2015/apr/24/libyas-people-smugglers-how-will-they-catch-us-theyll-soon-move-on?CMP=share_btn_tw,Sub-saharian migrants
nelsonmau,Libya,Italy,"1,250","1,000","1,500",Central Med,EUR,1250,Boats,2015,http://www.tempi.it/scafisti-smuggler-strage-migranti-milione-euro#.VVGOP3VtN5Q,
nkb,Libya,Italy,"1,500",,,Central Med,USD,1125,Boat - on deck,2014,http://www.timesofmalta.com/articles/view/20140723/local/many-migrants-drowned-as-others-were-stabbed-by-traffickers-in-fridays-tragedy.528838,
nkb,Libya,Italy,375,,,Central Med,USD,281,Boat - in hold,2014,http://www.timesofmalta.com/articles/view/20140723/local/many-migrants-drowned-as-others-were-stabbed-by-traffickers-in-fridays-tragedy.528839,
nkb,Libya,Italy,,800,,,EUR,,,2004,https://www.bfm.admin.ch/dam/data/bfm/publiservice/service/forschung/illegale_migrationpublic.pdf,p. 6
sgr,Libya,Italy,"1,200","1,500",,Central Med,USD,900,Boat,2014,"Weltwoche, May 22nd 2014",Costs per person
sgr,Libya,Italy,"130,000",,,,CHF,106600,Boat,2014,"Weltwoche, May 22nd 2014",Total estimate of revenue for one passage
nkb,Libya,Italy,"1,500",,,Central Med,USD,1500,,2015,http://www.streetpress.com/sujet/1432112822-un-camp-de-refugies-en-plein-paris,
Adam (GITOC),Libya,Italy,850,600,"1,100",Central Med,USD,850,Boat,2015,"Deutsche Welle, 24 April 2015, http://www.dw.de/one-syrian-refugees-odyssey-to-europe/a-18407711","""Normal price"" for a Syrian is $600, but $1,100 was the price paid by each of a group of 12 Syrians"
Adam (GITOC),Libya,Italy,"1,663",825,"2,500",Central Med,USD,1663,Fishing boat,2014,"Barbie Latza Nadeau, 5 June 2014, http://www.thedailybeast.com/articles/2014/06/05/confessions-of-a-human-trafficker-who-smuggled-desperate-migrants-into-europe.html",Lower bound is 1000 Libyan dinars
Adam (GITOC),Libya,Italy,"1,500",,,Central Med,USD,1500,Fishing boat,2014,"Barbie Latza Nadeau, 5 June 2014, http://www.thedailybeast.com/articles/2014/06/05/confessions-of-a-human-trafficker-who-smuggled-desperate-migrants-into-europe.html",Cost to take unaccompanied minor from Libya to Italy
Adam (GITOC),Libya,Italy,"700,000",,,,XAF,700000,Boat,2015,"Bate Felix, 27 May 2015, http://af.reuters.com/article/topNews/idAFKBN0OC0L520150527?pageNumber=2&virtualBrandChannel=0",Price for Senegalese man going from Libya to Italy
Adam (GITOC),Libya,Italy,"3,000",,,Central Med,EUR,3000,Fishing trawler,2015,"The National (UAE), 23 April 2015, http://www.thenational.ae/world/middle-east/in-libyas-anarchy-migrant-smuggling-a-booming-trade",Price for a place on a larger fishing boat
Adam (GITOC),Libya,Italy,500,,,Central Med,USD,500,Inflatable boat,2015,"The National (UAE), 23 April 2015, http://www.thenational.ae/world/middle-east/in-libyas-anarchy-migrant-smuggling-a-booming-trade",
Adam (GITOC),Libya,Italy,"1,500","1,000","2,000",Central Med,USD,1500,Wooden or steel boat,2015,"The National (UAE), 23 April 2015, http://www.thenational.ae/world/middle-east/in-libyas-anarchy-migrant-smuggling-a-booming-trade",Place on a boat somewhere between a raft and a large trawler
Adam (GITOC),Libya,Italy,"1,500",,,Central Med,USD,1500,Boat,2014,"Save the Children, 1 June 2014, http://www.savethechildren.de/fileadmin/Dokumente_Download/SC_report_The_boat_is_safe_and_other_lies.pdf",Price per person for a large group of Syrians
Adam (GITOC),Libya,Italy,"1,450",400,"2,500",Central Med,USD,1450,Boat,2015,"Reuters, 15 April 2015, http://www.reuters.com/article/2015/04/15/us-mediterranean-migrants-abuse-idUSKBN0N62RY20150415",Range of prices for African migrants trying to leave Libya
Adam (GITOC),Libya,Lampedusa,"1,600",,,Central Med,USD,1408,Boat,2015,"New York Times, 28 April 2015, http://www.nytimes.com/2015/04/28/world/africa/libya-migrants-mediterranean.html","Recent price, according to New York Times reporting"
Adam (GITOC),Libya,Lampedusa,"1,150",300,"2,000",,USD,867,Boat,2013,"Altai Consulting, November 2013, http://www.refworld.org/pdfid/52b43f594.pdf",Depends on smuggler and season
Adam (GITOC),Libya,Lampedusa,,,"5,000",,USD,,Boat,2010,"New York Times, 28 April 2015, http://www.nytimes.com/2015/04/28/world/africa/libya-migrants-mediterranean.html",Upper bound for Mediterranean crossing from Libya under Qaddafi regime
Adam (GITOC),Libya,Lampedusa,"1,650",800,"2,500",Central Med,EUR,1650,Boat,2014,"Libération (France), 1 February 2015, http://www.liberation.fr/monde/2015/01/02/la-mediterranee-tombeau-marin_1173223",
alice,Libya,Libya,500,,,,USD,440,diverse,2015,WOZ Nr. 17 23. April 2015,Transfer from Eastern Libya to Tripolis
Adam (GITOC),Libya,Malta,"3,000",,,Central Med,EUR,3000,Boat,2014,http://mashable.com/2015/04/25/mediterranean-smugglers-facebook/,Price per person for two people of unknown nationality. Prices advertised by smugglers on Facebook
Adam (GITOC),Libya,Malta,"1,150",300,"2,000",,USD,867,Boat,2013,"Altai Consulting, November 2013, http://www.refworld.org/pdfid/52b43f594.pdf",Depends on smuggler and season
Adam (GITOC),Libya,Norway,"10,000",,,,EUR,10000,Unclear,2014,"Save the Children, 1 June 2014, http://www.savethechildren.de/fileadmin/Dokumente_Download/SC_report_The_boat_is_safe_and_other_lies.pdf",Total price for a family of six
nelsonmau,Libya,Sicily,"1,000",,,Central Med,USD,880,boat,2015,l'Espresso http://espresso.repubblica.it/attualita/2015/04/20/news/stragi-del-mediterraneo-cosi-gli-schiavisti-comprano-e-vendono-gruppi-di-migranti-da-inviare-verso-le-coste-libiche-con-destinazione-italia-1.208984,
nelsonmau,Libya,Spain,"1,250","1,000","1,500",West Med,EUR,1250,Boats,2015,http://www.tempi.it/scafisti-smuggler-strage-migranti-milione-euro#.VVGOP3VtN5Q,
Adam (GITOC),Libya,Lampedusa,800,,,Central Med,USD,1088,Boat,2002,"Anna Triandafyllidou and Thanos Maroukis, 2013, Migrant Smuggling: Irregular Migration from Asia and Africa to Europe",
Adam (GITOC),Libya,Lampedusa,"2,000",,,Central Med,USD,1685,boat,2007,"Anna Triandafyllidou and Thanos Maroukis, 2013, Migrant Smuggling: Irregular Migration from Asia and Africa to Europe",
Adam (GITOC),Libya,Greece,"1,000",,,East Med Sea+,EUR,1080,Plane and boat,2010,"Anna Triandafyllidou and Thanos Maroukis, 2013, Migrant Smuggling: Irregular Migration from Asia and Africa to Europe","Plane to Istanbul, boat to Greek islands"
Adam (GITOC),Libya,Italy,"2,300",,,Central Med,USD,1725,Boat,2014,"The Nation, 11 February 2015, http://www.thenation.com/article/197833/why-syrian-refugees-risk-journey-death-europe#",Price for a Syrian man
Adam (GITOC),Macedonia-Greece Border,Macedonia-Serbia Border,160,120,200,,EUR,160,Foot,2015,"Katarina Subasic, 25 April 2015, http://www.smh.com.au/world/european-migrant-crisis-at-least-14-migrants-killed-in-macedonia-train-horror-20150424-1msxxy.html",Cost for smuggling people on foot across Macedonia from Greek to Serbian borders
Adam (GITOC),Mali,Libya,600,,,,USD,600,Vehicle and boat,2015,"The Economist, 25 April 2015, http://www.economist.com/news/briefing/21649488-those-peril",
Red Cross,MALI,Spain,Payé frére,,,West African,XAF,,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,MALI,Spain,Payé frére,,,West African,XAF,,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,MALI,Spain,Payé frére,,,West African,XAF,,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,MALI,Spain,Payé frére,,,West African,XAF,,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,MALI,Spain,Payé frére,,,West African,XAF,,Seat on a boat from Mauritania,2007,Red Cross,
Red Cross,MALI,Spain,Payé frére,,,West African,XAF,,Seat on a boat from Mauritania,2007,Red Cross,
